Age,Occupation,Purchase_1,Purchase_2,Purchase_3,Purchase_4,Purchase_5,Range_of_purchases,Categories,Age_Range
32,2,3644,8090,1235,10154,5626,2500-10000,Food,25-16
50,20,1779,1236,1487,16046,1451,15000-20000,Fornitures,43-52
34,15,2259,7875,944,17395,3151,2500-10000,Food,34-43
35,12,779,966,1988,20620,14895,10000-15000,Electrical Products,34-43
62,8,2437,4356,2263,8518,6761,0-10000,Home Prodcts,61-70
50,20,1179,4529,2236,18414,1596,15000-20000,Fornitures,43-52
47,3,652,9535,2260,11314,5157,15000-20000,Fornitures,43-52
33,3,2058,1924,901,2202,5870,2500-10000,Food,25-16
46,15,4187,2515,2478,3090,289,15000-20000,Fornitures,43-52
54,5,4675,5818,1166,10858,3313,20000-25000,Travels,52-61
33,7,3262,7565,741,7833,9853,2500-10000,Food,25-16
55,16,1775,2986,1282,5147,13425,20000-25000,Travels,52-61
46,3,61,4963,2108,12383,5553,15000-20000,Fornitures,43-52
50,9,2536,3038,692,24971,1716,15000-20000,Fornitures,43-52
52,6,1506,8519,2272,15573,14660,15000-20000,Fornitures,52-61
51,20,4505,2124,740,13366,6523,15000-20000,Fornitures,43-52
55,8,3567,6078,1737,18542,3379,20000-25000,Travels,52-61
32,16,2385,2189,980,144,10303,2500-10000,Food,25-16
35,10,1319,2738,2317,21927,1890,10000-15000,Electrical Products,34-43
28,10,2995,8478,2455,10483,10985,2500-10000,Food,25-16
42,9,3648,5176,1662,15269,5403,10000-15000,Electrical Products,34-43
44,15,1433,7055,1434,18871,4762,15000-20000,Fornitures,43-52
48,15,3823,5172,93,12762,5929,15000-20000,Fornitures,43-52
31,6,3764,777,1443,18947,14397,2500-10000,Food,25-16
42,14,2596,2391,638,3384,52,10000-15000,Electrical Products,34-43
54,5,4222,7367,1994,19006,4048,20000-25000,Travels,52-61
34,17,1667,5764,88,7959,2330,2500-10000,Food,34-43
36,14,1558,9273,567,3353,12487,10000-15000,Electrical Products,34-43
59,20,1315,7368,43,8782,13032,20000-25000,Travels,52-61
39,16,4225,4142,2297,22112,14819,10000-15000,Electrical Products,34-43
33,6,778,7710,1315,9785,921,2500-10000,Food,25-16
44,16,3184,9272,965,11429,13114,15000-20000,Fornitures,43-52
40,8,4315,9355,934,12069,7431,10000-15000,Electrical Products,34-43
36,15,2558,6342,2093,792,5717,10000-15000,Electrical Products,34-43
40,15,3488,7504,1517,11611,700,10000-15000,Electrical Products,34-43
39,6,1107,5599,1746,4406,10204,10000-15000,Electrical Products,34-43
44,7,2989,912,839,21167,10276,15000-20000,Fornitures,43-52
66,6,367,442,2080,12111,12546,0-10000,Home Prodcts,61-70
47,13,1863,5556,331,14415,8497,15000-20000,Fornitures,43-52
33,2,1215,8918,1824,6517,2339,2500-10000,Food,25-16
46,6,3248,5023,1940,23955,13198,15000-20000,Fornitures,43-52
41,2,3597,9475,1764,24339,4971,10000-15000,Electrical Products,34-43
48,4,2256,8720,2143,4296,13875,15000-20000,Fornitures,43-52
47,15,2587,3322,662,12162,1805,15000-20000,Fornitures,43-52
56,4,2407,4608,603,16008,4530,20000-25000,Travels,52-61
53,13,2197,1810,1153,23735,10298,20000-25000,Travels,52-61
41,15,4601,9379,1048,7842,14976,10000-15000,Electrical Products,34-43
64,14,3573,1823,1110,6677,5930,0-10000,Home Prodcts,61-70
49,18,2634,8671,179,5573,217,15000-20000,Fornitures,43-52
34,18,4274,5250,2042,6200,2290,2500-10000,Food,34-43
41,14,1336,2146,361,8280,14752,10000-15000,Electrical Products,34-43
45,3,2879,8458,2162,21540,3078,15000-20000,Fornitures,43-52
48,15,1085,8243,189,18555,7233,15000-20000,Fornitures,43-52
31,6,2356,5214,2415,22894,11493,2500-10000,Food,25-16
49,7,1936,404,961,8251,2714,15000-20000,Fornitures,43-52
53,19,3862,1855,2099,13065,5065,20000-25000,Travels,52-61
45,15,1156,8795,2287,3155,3640,15000-20000,Fornitures,43-52
37,3,76,5075,2231,10544,12038,10000-15000,Electrical Products,34-43
46,2,1094,8430,816,1946,9448,15000-20000,Fornitures,43-52
38,20,2358,4792,1678,8529,13213,10000-15000,Electrical Products,34-43
45,3,370,5968,187,23712,13590,15000-20000,Fornitures,43-52
48,4,3536,6615,885,22146,14332,15000-20000,Fornitures,43-52
47,17,4169,1256,659,22133,2761,15000-20000,Fornitures,43-52
46,14,3126,5889,2280,6007,10805,15000-20000,Fornitures,43-52
50,14,2336,7270,2194,11899,11005,15000-20000,Fornitures,43-52
45,5,2865,6470,25,9841,12389,15000-20000,Fornitures,43-52
49,2,1069,5056,1372,1551,4377,15000-20000,Fornitures,43-52
41,7,3094,7867,1740,15622,9986,10000-15000,Electrical Products,34-43
34,3,1077,6650,956,10576,1292,2500-10000,Food,34-43
40,2,1659,6562,73,3792,14854,10000-15000,Electrical Products,34-43
27,4,3180,4412,648,16046,10495,2500-10000,Food,25-16
34,19,310,3280,1837,4354,7912,2500-10000,Food,34-43
47,3,3333,2247,1812,19418,7086,15000-20000,Fornitures,43-52
43,6,934,2146,651,20317,5821,10000-15000,Electrical Products,43-52
45,16,1422,6010,2499,2177,3660,15000-20000,Fornitures,43-52
32,19,1308,1756,164,18592,1311,2500-10000,Food,25-16
55,17,3138,4608,2167,10417,11612,20000-25000,Travels,52-61
44,19,505,7700,752,4013,516,15000-20000,Fornitures,43-52
36,2,2620,4358,1519,871,537,10000-15000,Electrical Products,34-43
49,19,3541,4408,666,2320,14722,15000-20000,Fornitures,43-52
36,6,3210,8776,2130,3962,2130,10000-15000,Electrical Products,34-43
47,13,1397,3814,1231,20759,2385,15000-20000,Fornitures,43-52
45,4,761,5560,246,11471,5737,15000-20000,Fornitures,43-52
55,14,528,5685,437,17919,5577,20000-25000,Travels,52-61
42,12,4688,6829,573,3602,6301,10000-15000,Electrical Products,34-43
33,19,1098,4996,1520,21368,5307,2500-10000,Food,25-16
52,7,1629,1994,53,22801,4080,15000-20000,Fornitures,52-61
59,3,3629,8823,1012,9467,7607,20000-25000,Travels,52-61
46,7,187,8771,527,12600,14832,15000-20000,Fornitures,43-52
55,14,3076,1849,738,24105,11857,20000-25000,Travels,52-61
41,19,3452,1489,1235,22973,2702,10000-15000,Electrical Products,34-43
31,8,2182,3737,965,20522,6508,2500-10000,Food,25-16
29,20,3817,3165,553,21357,14534,2500-10000,Food,25-16
33,2,4269,1518,1961,11655,7341,2500-10000,Food,25-16
52,15,555,1280,1945,1380,625,15000-20000,Fornitures,52-61
49,11,1336,9585,803,2640,2741,15000-20000,Fornitures,43-52
36,1,4307,5592,1871,23417,7913,10000-15000,Electrical Products,34-43
58,16,1728,8756,1723,2282,13921,20000-25000,Travels,52-61
40,17,1464,8977,1964,7642,5719,10000-15000,Electrical Products,34-43
57,9,2435,6235,1534,23927,8204,20000-25000,Travels,52-61
23,6,649,2830,1935,20540,13753,0-2500,Games,16-25
39,20,2519,6812,892,18402,5820,10000-15000,Electrical Products,34-43
33,16,588,7054,1213,2601,8768,2500-10000,Food,25-16
47,16,285,8571,1244,6878,5113,15000-20000,Fornitures,43-52
36,20,1606,3696,1815,18118,10546,10000-15000,Electrical Products,34-43
58,18,196,4341,1468,24158,2047,20000-25000,Travels,52-61
54,20,1697,9504,1187,1242,6196,20000-25000,Travels,52-61
38,10,2302,5982,294,5886,8688,10000-15000,Electrical Products,34-43
51,10,2398,2278,2101,17507,6491,15000-20000,Fornitures,43-52
36,2,4336,6624,171,23607,4647,10000-15000,Electrical Products,34-43
59,15,402,8139,611,11166,12626,20000-25000,Travels,52-61
43,10,2448,8420,2113,14315,7545,10000-15000,Electrical Products,43-52
49,1,3927,7758,1053,2950,797,15000-20000,Fornitures,43-52
47,2,4624,7511,57,5766,6970,15000-20000,Fornitures,43-52
23,16,48,6256,293,3732,7815,0-2500,Games,16-25
61,5,4816,5396,814,2176,8745,20000-25000,Travels,61-70
52,3,3812,1492,2052,24210,3227,15000-20000,Fornitures,52-61
54,6,977,3328,940,16795,12134,20000-25000,Travels,52-61
31,3,3348,545,898,17225,13022,2500-10000,Food,25-16
65,7,1002,1420,1058,14463,1916,0-10000,Home Prodcts,61-70
48,13,1813,3863,1120,7670,6299,15000-20000,Fornitures,43-52
50,3,4685,8232,180,6006,9134,15000-20000,Fornitures,43-52
50,18,18,9161,504,21111,1949,15000-20000,Fornitures,43-52
44,20,4492,9717,806,13191,2648,15000-20000,Fornitures,43-52
49,1,199,4471,1927,24157,7315,15000-20000,Fornitures,43-52
38,20,3006,2544,1218,23808,14726,10000-15000,Electrical Products,34-43
43,6,2202,2869,7,10751,4026,10000-15000,Electrical Products,43-52
27,13,2553,4846,2486,17269,6508,2500-10000,Food,25-16
34,6,1892,1365,1654,8158,6476,2500-10000,Food,34-43
37,16,1982,9865,478,11316,2381,10000-15000,Electrical Products,34-43
37,9,2240,1253,823,11317,7552,10000-15000,Electrical Products,34-43
42,1,191,7953,1006,9376,13466,10000-15000,Electrical Products,34-43
57,13,4514,261,1496,19304,3962,20000-25000,Travels,52-61
39,11,4358,4595,1729,5490,7548,10000-15000,Electrical Products,34-43
50,8,212,4399,194,11098,7098,15000-20000,Fornitures,43-52
34,4,4921,8619,1428,4621,10574,2500-10000,Food,34-43
56,19,4813,9578,1655,24680,6892,20000-25000,Travels,52-61
52,5,2902,361,1611,4555,9506,15000-20000,Fornitures,52-61
28,13,2115,337,1094,22701,6454,2500-10000,Food,25-16
41,1,3563,5591,246,5730,11454,10000-15000,Electrical Products,34-43
59,17,1993,6889,2291,3968,9343,20000-25000,Travels,52-61
24,3,4765,8119,2432,15486,1351,0-2500,Games,16-25
49,17,2241,3209,2416,1982,11681,15000-20000,Fornitures,43-52
55,17,259,6785,1874,12299,4799,20000-25000,Travels,52-61
48,13,4567,1206,637,13061,2035,15000-20000,Fornitures,43-52
60,5,2096,6769,864,23597,12563,20000-25000,Travels,52-61
48,16,2389,6331,2044,4305,8026,15000-20000,Fornitures,43-52
45,12,4221,2142,957,18680,12541,15000-20000,Fornitures,43-52
53,12,1387,750,1439,213,9673,20000-25000,Travels,52-61
56,10,366,3090,2032,22120,2115,20000-25000,Travels,52-61
39,6,4988,8520,2197,18350,3103,10000-15000,Electrical Products,34-43
40,2,1531,5103,833,15517,11095,10000-15000,Electrical Products,34-43
50,15,1718,2524,2430,17331,7838,15000-20000,Fornitures,43-52
50,14,2330,3919,1593,21367,3301,15000-20000,Fornitures,43-52
48,12,2476,6568,1052,18292,12192,15000-20000,Fornitures,43-52
50,13,3640,956,2328,11793,2165,15000-20000,Fornitures,43-52
40,13,1981,6729,752,2172,12310,10000-15000,Electrical Products,34-43
56,3,1630,2995,8,7919,12088,20000-25000,Travels,52-61
46,3,3150,9361,330,14574,9549,15000-20000,Fornitures,43-52
48,18,3913,3668,2315,24357,7788,15000-20000,Fornitures,43-52
31,2,4587,5375,574,8418,5388,2500-10000,Food,25-16
54,8,4292,3340,582,21403,3821,20000-25000,Travels,52-61
45,18,4547,9846,1935,2483,554,15000-20000,Fornitures,43-52
37,4,1776,1525,19,24546,2528,10000-15000,Electrical Products,34-43
49,13,378,8415,1846,19811,9459,15000-20000,Fornitures,43-52
42,19,51,8456,1849,17824,5044,10000-15000,Electrical Products,34-43
27,12,1480,1380,333,5927,13362,2500-10000,Food,25-16
41,11,1080,9227,111,16151,4085,10000-15000,Electrical Products,34-43
35,5,4836,8680,1878,14881,14529,10000-15000,Electrical Products,34-43
35,19,1302,5421,4,17496,11480,10000-15000,Electrical Products,34-43
33,16,4402,9482,2059,6883,2034,2500-10000,Food,25-16
42,9,3893,6337,1869,22149,1591,10000-15000,Electrical Products,34-43
65,13,4023,6988,240,23303,902,0-10000,Home Prodcts,61-70
41,9,817,3879,1085,12078,3805,10000-15000,Electrical Products,34-43
48,9,3731,9343,1060,3648,1371,15000-20000,Fornitures,43-52
43,5,1113,3793,584,4883,5527,10000-15000,Electrical Products,43-52
25,14,147,7552,385,20478,3151,0-2500,Games,25-16
37,16,1033,1124,1238,13335,5571,10000-15000,Electrical Products,34-43
45,2,3032,6054,632,16969,8600,15000-20000,Fornitures,43-52
26,16,298,2311,1404,268,10507,2500-10000,Food,25-16
43,9,2244,1588,1307,20926,1726,10000-15000,Electrical Products,43-52
36,6,864,6102,1430,5778,4068,10000-15000,Electrical Products,34-43
43,13,3427,3680,2449,4988,13564,10000-15000,Electrical Products,43-52
52,17,2988,6797,2407,15978,9895,15000-20000,Fornitures,52-61
38,1,1787,5312,1672,1631,11769,10000-15000,Electrical Products,34-43
49,4,2534,8134,2107,1162,2214,15000-20000,Fornitures,43-52
45,4,1520,1732,2095,17541,5051,15000-20000,Fornitures,43-52
47,10,4660,5842,887,24368,8767,15000-20000,Fornitures,43-52
39,13,4304,9557,2367,24054,12803,10000-15000,Electrical Products,34-43
48,17,3381,4998,1388,18835,8040,15000-20000,Fornitures,43-52
36,20,4844,1374,2253,12970,1696,10000-15000,Electrical Products,34-43
46,8,1104,4222,2053,23228,11488,15000-20000,Fornitures,43-52
59,18,3901,5429,2201,5472,2815,20000-25000,Travels,52-61
46,2,2508,176,2186,9668,7239,15000-20000,Fornitures,43-52
34,1,1587,7449,1448,14551,5566,2500-10000,Food,34-43
42,13,3683,3189,1174,16652,10589,10000-15000,Electrical Products,34-43
37,4,853,6028,1849,17799,1916,10000-15000,Electrical Products,34-43
53,10,2788,4214,967,1688,3017,20000-25000,Travels,52-61
51,18,1607,5937,1854,15003,6579,15000-20000,Fornitures,43-52
38,7,1454,2642,956,17472,9299,10000-15000,Electrical Products,34-43
49,8,2456,7187,2474,1671,4350,15000-20000,Fornitures,43-52
46,7,1294,8952,2496,6527,5750,15000-20000,Fornitures,43-52
36,3,2082,4977,2183,16983,4680,10000-15000,Electrical Products,34-43
53,7,4957,1906,69,23843,4259,20000-25000,Travels,52-61
43,2,3951,1496,1240,11295,14742,10000-15000,Electrical Products,43-52
31,19,338,8416,1034,9615,3825,2500-10000,Food,25-16
50,16,621,690,449,2049,14750,15000-20000,Fornitures,43-52
53,4,41,4543,2411,1155,12727,20000-25000,Travels,52-61
51,18,4154,7818,498,17024,648,15000-20000,Fornitures,43-52
38,8,911,6595,440,13257,2893,10000-15000,Electrical Products,34-43
47,8,1893,8109,1250,627,6769,15000-20000,Fornitures,43-52
55,17,3268,1493,1042,23545,5499,20000-25000,Travels,52-61
34,14,1979,3971,983,6536,9927,2500-10000,Food,34-43
39,13,703,8240,565,8615,4855,10000-15000,Electrical Products,34-43
58,5,4160,6262,1575,740,5045,20000-25000,Travels,52-61
33,11,3217,9723,1912,5456,489,2500-10000,Food,25-16
40,19,2477,9042,1213,9464,11255,10000-15000,Electrical Products,34-43
38,8,2986,430,1259,18130,8642,10000-15000,Electrical Products,34-43
37,19,3372,1081,1859,20248,9027,10000-15000,Electrical Products,34-43
40,4,3967,5707,746,20993,14246,10000-15000,Electrical Products,34-43
60,6,2498,8250,1149,21984,6527,20000-25000,Travels,52-61
36,7,3885,7087,1628,1771,7042,10000-15000,Electrical Products,34-43
44,8,2838,8957,705,3985,6971,15000-20000,Fornitures,43-52
48,12,4791,9487,819,24735,1317,15000-20000,Fornitures,43-52
28,3,1673,4256,1518,16735,12973,2500-10000,Food,25-16
38,18,1951,8136,1296,22864,5135,10000-15000,Electrical Products,34-43
38,1,1761,7197,377,11042,7264,10000-15000,Electrical Products,34-43
53,15,4882,2735,635,5667,14526,20000-25000,Travels,52-61
42,13,1170,431,813,21608,3909,10000-15000,Electrical Products,34-43
28,20,4109,3418,560,7634,989,2500-10000,Food,25-16
48,8,1775,2071,784,344,5707,15000-20000,Fornitures,43-52
36,2,1826,2138,1752,18930,8723,10000-15000,Electrical Products,34-43
49,18,4538,5196,2458,2358,14909,15000-20000,Fornitures,43-52
51,20,3475,1042,1664,11324,9023,15000-20000,Fornitures,43-52
32,10,1981,3398,2422,6253,9094,2500-10000,Food,25-16
48,3,267,4322,124,11606,350,15000-20000,Fornitures,43-52
65,20,1078,7895,920,15717,4097,0-10000,Home Prodcts,61-70
30,8,905,1083,1764,1598,4285,2500-10000,Food,25-16
38,4,4054,9441,85,9886,3753,10000-15000,Electrical Products,34-43
54,1,2192,9258,1617,1566,7785,20000-25000,Travels,52-61
44,20,2894,2420,179,7233,12802,15000-20000,Fornitures,43-52
32,14,2102,3409,5,2778,97,2500-10000,Food,25-16
42,5,4846,596,1469,4705,9067,10000-15000,Electrical Products,34-43
50,2,3747,8953,355,15519,11830,15000-20000,Fornitures,43-52
53,6,2683,7593,2402,10514,9442,20000-25000,Travels,52-61
20,17,861,2116,1864,11861,5511,0-2500,Games,16-25
50,10,1503,5529,391,12112,1471,15000-20000,Fornitures,43-52
57,14,1005,9386,179,22966,13114,20000-25000,Travels,52-61
53,12,4187,1799,345,15951,9368,20000-25000,Travels,52-61
46,14,3621,753,2139,23562,12261,15000-20000,Fornitures,43-52
42,9,3071,5730,746,16337,1313,10000-15000,Electrical Products,34-43
34,12,3808,7125,41,1252,13059,2500-10000,Food,34-43
35,19,2647,717,2249,2616,2703,10000-15000,Electrical Products,34-43
40,2,2928,7808,1398,8836,2411,10000-15000,Electrical Products,34-43
34,17,4076,5169,103,11370,1253,2500-10000,Food,34-43
44,4,1223,5165,1504,16868,5062,15000-20000,Fornitures,43-52
51,9,2881,2694,2059,19538,10739,15000-20000,Fornitures,43-52
52,10,526,6483,2496,19788,432,15000-20000,Fornitures,52-61
46,7,2013,4545,2242,6806,12894,15000-20000,Fornitures,43-52
42,2,3246,627,739,10360,3929,10000-15000,Electrical Products,34-43
41,4,3114,8035,576,13124,8606,10000-15000,Electrical Products,34-43
30,17,4897,8088,264,15988,9249,2500-10000,Food,25-16
32,5,2814,7914,520,14254,12423,2500-10000,Food,25-16
44,18,381,3597,1015,22375,7446,15000-20000,Fornitures,43-52
49,7,156,3594,735,1794,1263,15000-20000,Fornitures,43-52
57,13,2154,1078,2386,24151,9893,20000-25000,Travels,52-61
34,10,486,4886,1719,462,1240,2500-10000,Food,34-43
48,8,4167,2080,343,11521,10600,15000-20000,Fornitures,43-52
40,14,3828,8869,498,6960,4143,10000-15000,Electrical Products,34-43
35,14,3893,5765,1630,11796,13019,10000-15000,Electrical Products,34-43
45,18,922,2882,757,2718,11700,15000-20000,Fornitures,43-52
67,3,160,4098,436,4390,9000,0-10000,Home Prodcts,61-70
48,6,2845,5953,234,8214,8087,15000-20000,Fornitures,43-52
53,10,4590,5941,1768,12503,4078,20000-25000,Travels,52-61
38,13,3957,3423,2060,2398,2767,10000-15000,Electrical Products,34-43
41,6,2986,8600,768,18757,13484,10000-15000,Electrical Products,34-43
40,2,200,5611,2366,12233,7489,10000-15000,Electrical Products,34-43
33,18,3922,3776,2268,16079,1594,2500-10000,Food,25-16
38,6,1306,7647,2378,16821,10778,10000-15000,Electrical Products,34-43
39,12,37,2987,2183,4621,11608,10000-15000,Electrical Products,34-43
38,6,3183,6586,1407,12658,11181,10000-15000,Electrical Products,34-43
33,5,3155,5464,1788,10710,14153,2500-10000,Food,25-16
48,12,401,4861,2249,1005,13185,15000-20000,Fornitures,43-52
44,7,4481,8723,1780,7789,8214,15000-20000,Fornitures,43-52
33,18,964,7863,2135,5507,4507,2500-10000,Food,25-16
35,14,4945,6045,466,2146,12060,10000-15000,Electrical Products,34-43
36,19,663,5322,1153,13178,13042,10000-15000,Electrical Products,34-43
41,6,2513,7996,1340,14898,2491,10000-15000,Electrical Products,34-43
33,13,917,1004,2306,23528,13703,2500-10000,Food,25-16
46,15,597,8477,726,141,6048,15000-20000,Fornitures,43-52
41,11,2224,7540,1827,13267,13975,10000-15000,Electrical Products,34-43
38,15,15,7243,1841,12699,7933,10000-15000,Electrical Products,34-43
48,5,4229,315,2229,13587,4461,15000-20000,Fornitures,43-52
39,8,3632,8670,1114,1999,13973,10000-15000,Electrical Products,34-43
55,1,4375,3685,2496,24488,10435,20000-25000,Travels,52-61
36,20,2844,4159,831,22393,5484,10000-15000,Electrical Products,34-43
38,7,965,4080,1832,17882,7633,10000-15000,Electrical Products,34-43
48,12,2762,6160,1593,8094,9504,15000-20000,Fornitures,43-52
30,7,3015,627,2086,9053,7444,2500-10000,Food,25-16
32,14,2248,3717,2285,10190,14112,2500-10000,Food,25-16
42,18,3528,1211,745,621,5313,10000-15000,Electrical Products,34-43
36,6,2617,7240,161,18087,5895,10000-15000,Electrical Products,34-43
46,5,831,3512,1817,21680,3499,15000-20000,Fornitures,43-52
45,3,2231,2625,210,9079,3723,15000-20000,Fornitures,43-52
35,5,1137,500,468,6227,11100,10000-15000,Electrical Products,34-43
34,14,1545,2821,2397,15665,9898,2500-10000,Food,34-43
47,7,3068,6481,1400,24020,1029,15000-20000,Fornitures,43-52
51,14,4033,6099,355,17484,12809,15000-20000,Fornitures,43-52
58,12,3908,7444,1329,2211,6625,20000-25000,Travels,52-61
35,1,2098,7303,460,23327,12264,10000-15000,Electrical Products,34-43
43,14,4525,5833,1958,2935,7916,10000-15000,Electrical Products,43-52
44,15,2705,2828,151,17942,8176,15000-20000,Fornitures,43-52
62,3,4588,6919,2312,8338,14547,0-10000,Home Prodcts,61-70
49,17,4612,5289,1608,8520,9789,15000-20000,Fornitures,43-52
65,12,4169,4086,2276,17827,12556,0-10000,Home Prodcts,61-70
47,20,2196,2832,114,9881,7561,15000-20000,Fornitures,43-52
40,1,1203,2266,1489,4903,9964,10000-15000,Electrical Products,34-43
44,10,443,3124,1112,11342,12730,15000-20000,Fornitures,43-52
36,19,1434,2328,406,13927,14326,10000-15000,Electrical Products,34-43
43,13,2136,8349,403,20216,14151,10000-15000,Electrical Products,43-52
45,5,2981,6976,1973,18850,7040,15000-20000,Fornitures,43-52
39,3,2931,9164,2209,16671,6782,10000-15000,Electrical Products,34-43
47,8,965,1207,1215,1198,6147,15000-20000,Fornitures,43-52
46,15,4378,1233,1765,1054,9237,15000-20000,Fornitures,43-52
47,9,4638,2128,1579,19479,12258,15000-20000,Fornitures,43-52
33,15,4559,1932,320,14919,7686,2500-10000,Food,25-16
54,14,486,4966,2039,18461,14484,20000-25000,Travels,52-61
45,19,3216,1517,1379,7148,12005,15000-20000,Fornitures,43-52
49,8,550,5481,514,17198,10605,15000-20000,Fornitures,43-52
44,9,1985,1644,15,5322,5761,15000-20000,Fornitures,43-52
41,19,3988,6919,317,913,9784,10000-15000,Electrical Products,34-43
36,6,1569,148,1970,20272,5728,10000-15000,Electrical Products,34-43
46,5,1135,410,1337,5838,3889,15000-20000,Fornitures,43-52
53,12,4827,2253,1136,18812,2055,20000-25000,Travels,52-61
47,9,4658,2452,1225,21751,4263,15000-20000,Fornitures,43-52
50,6,4201,1618,2088,7475,14896,15000-20000,Fornitures,43-52
36,11,4491,6221,1503,5853,4532,10000-15000,Electrical Products,34-43
45,10,4995,8637,803,2708,6319,15000-20000,Fornitures,43-52
43,6,680,1277,412,11885,5718,10000-15000,Electrical Products,43-52
47,2,462,8706,672,20680,9102,15000-20000,Fornitures,43-52
38,8,339,1677,1607,24152,4260,10000-15000,Electrical Products,34-43
33,8,3207,8635,2276,4052,8650,2500-10000,Food,25-16
19,19,4866,9745,1142,14955,1425,0-2500,Games,16-25
44,14,774,9011,42,23105,13139,15000-20000,Fornitures,43-52
43,1,235,4884,800,575,10025,10000-15000,Electrical Products,43-52
37,4,2987,2108,1921,11538,4137,10000-15000,Electrical Products,34-43
46,13,164,6246,1706,20557,14752,15000-20000,Fornitures,43-52
51,15,2213,864,2044,13051,13318,15000-20000,Fornitures,43-52
37,12,1917,2052,1712,1384,12702,10000-15000,Electrical Products,34-43
27,1,1412,1923,103,11089,11540,2500-10000,Food,25-16
42,17,1281,7039,1836,14560,11851,10000-15000,Electrical Products,34-43
39,14,4587,5772,1224,18655,5795,10000-15000,Electrical Products,34-43
39,13,1368,8780,1945,12235,3392,10000-15000,Electrical Products,34-43
61,19,1562,3842,713,13140,6372,20000-25000,Travels,61-70
44,12,660,3899,2166,6411,531,15000-20000,Fornitures,43-52
41,9,2694,8709,1545,17965,12285,10000-15000,Electrical Products,34-43
41,2,1523,6225,447,13509,14239,10000-15000,Electrical Products,34-43
40,11,746,4316,1776,23432,44,10000-15000,Electrical Products,34-43
38,14,2922,2999,1064,21104,9062,10000-15000,Electrical Products,34-43
45,16,618,7546,2247,19699,3251,15000-20000,Fornitures,43-52
50,16,2388,7762,1075,7650,7919,15000-20000,Fornitures,43-52
56,5,1554,347,2328,20258,9798,20000-25000,Travels,52-61
55,15,3497,6712,66,2640,6544,20000-25000,Travels,52-61
53,2,1400,2933,1809,561,3020,20000-25000,Travels,52-61
38,18,609,5000,2049,8900,11628,10000-15000,Electrical Products,34-43
33,16,2067,5792,1686,2418,1572,2500-10000,Food,25-16
65,3,566,7114,1445,1109,12824,0-10000,Home Prodcts,61-70
51,17,476,8718,103,2874,10345,15000-20000,Fornitures,43-52
50,15,2337,2000,947,5502,5735,15000-20000,Fornitures,43-52
50,4,1495,7851,1782,19830,11744,15000-20000,Fornitures,43-52
34,12,4808,2355,741,9895,2982,2500-10000,Food,34-43
35,12,1885,7624,184,18136,12225,10000-15000,Electrical Products,34-43
44,5,3733,3378,2195,12256,5382,15000-20000,Fornitures,43-52
45,13,1590,2282,150,6257,10204,15000-20000,Fornitures,43-52
54,14,4722,1519,2022,18377,13341,20000-25000,Travels,52-61
37,19,847,8036,172,988,10006,10000-15000,Electrical Products,34-43
49,14,1131,6977,562,16220,2153,15000-20000,Fornitures,43-52
44,16,588,9262,1547,12048,4000,15000-20000,Fornitures,43-52
52,3,1134,6318,2107,7158,10393,15000-20000,Fornitures,52-61
54,3,4672,4052,1248,5679,9565,20000-25000,Travels,52-61
33,11,4339,3445,2359,24732,11887,2500-10000,Food,25-16
38,20,1653,6213,2073,7069,5401,10000-15000,Electrical Products,34-43
25,13,402,5556,1759,24167,4294,0-2500,Games,25-16
33,5,3854,5020,1259,5557,9118,2500-10000,Food,25-16
43,7,4778,5160,2499,24780,9739,10000-15000,Electrical Products,43-52
27,18,715,1939,1644,21282,6432,2500-10000,Food,25-16
52,10,1943,7213,1670,2776,864,15000-20000,Fornitures,52-61
42,4,1178,7870,1579,22773,14268,10000-15000,Electrical Products,34-43
41,20,2843,883,618,9179,5616,10000-15000,Electrical Products,34-43
38,4,1396,9876,2151,14443,13711,10000-15000,Electrical Products,34-43
50,17,699,1718,682,16752,10981,15000-20000,Fornitures,43-52
46,16,2790,4578,1800,7369,14278,15000-20000,Fornitures,43-52
43,19,4264,129,757,3396,10042,10000-15000,Electrical Products,43-52
36,3,1692,9520,1741,20592,1305,10000-15000,Electrical Products,34-43
54,15,1134,7242,1004,8185,12158,20000-25000,Travels,52-61
52,9,2860,8359,2312,18693,7312,15000-20000,Fornitures,52-61
48,20,281,1881,1905,7980,10443,15000-20000,Fornitures,43-52
51,4,4139,9488,1081,7563,14375,15000-20000,Fornitures,43-52
28,10,870,6099,1978,18988,13624,2500-10000,Food,25-16
35,16,4388,6010,2477,8791,12872,10000-15000,Electrical Products,34-43
44,2,2106,2260,93,11260,9564,15000-20000,Fornitures,43-52
34,6,2285,2395,431,12575,3300,2500-10000,Food,34-43
35,4,2694,2908,421,12017,9870,10000-15000,Electrical Products,34-43
46,9,77,7355,227,17437,6546,15000-20000,Fornitures,43-52
46,15,1993,5701,2164,6858,14548,15000-20000,Fornitures,43-52
37,19,3525,3342,375,23933,7137,10000-15000,Electrical Products,34-43
55,7,791,6511,2025,13293,678,20000-25000,Travels,52-61
45,5,1484,4865,289,24975,3660,15000-20000,Fornitures,43-52
39,17,806,7839,84,22819,10609,10000-15000,Electrical Products,34-43
50,16,116,673,147,1418,13352,15000-20000,Fornitures,43-52
37,15,2188,7411,296,9832,3340,10000-15000,Electrical Products,34-43
40,14,2873,9799,228,5150,14643,10000-15000,Electrical Products,34-43
