Age,Occupation,Purchase_1,Purchase_2,Purchase_3,Purchase_4,Purchase_5
46,7,957,8364,2178,20919,5081
46,5,3527,1700,584,13949,1275
39,15,3297,3349,1963,12501,10417
42,1,4177,9091,939,19515,1346
41,7,4715,1377,776,776,10499
46,5,1448,7562,2225,19998,3551
38,17,2724,7856,1783,16268,632
48,9,4810,292,1699,17084,11385
51,10,2537,4722,1805,16003,9719
40,12,2421,8990,1992,5548,1157
44,19,1751,5647,1143,11036,1933
44,18,4460,9246,204,20757,11992
47,12,4022,351,848,17189,4773
47,20,3790,2241,1195,6145,10387
50,7,467,993,1483,6994,8379
44,2,4896,8904,772,16283,5746
41,10,398,7682,754,16732,11757
47,9,2656,2981,2491,16237,9425
54,7,4604,6865,1802,1494,5689
59,14,2668,8875,890,7904,12546
46,18,4847,425,2046,17204,12065
39,11,3851,3250,761,12526,337
31,7,537,2246,2120,5263,4589
46,1,4531,5898,736,3713,4810
38,13,2824,4397,1570,21145,14069
39,4,491,2216,1926,18320,2160
43,11,627,3540,806,18748,12848
57,8,279,8003,1260,1056,2195
33,7,93,3473,570,13201,4262
30,7,1814,6408,108,3467,10672
51,5,1756,4481,569,6096,6644
49,11,1454,4459,1482,18934,11611
57,20,1120,5249,1167,15994,8453
46,12,928,3389,368,9001,4009
39,16,164,5205,1361,13469,5250
39,4,1513,2008,2381,1688,4931
41,10,173,5495,681,15609,12112
42,10,2415,6142,2210,4043,9381
49,14,2744,2487,879,4084,8776
32,16,3245,7099,253,10192,6790
51,3,606,4817,1481,8962,14738
53,6,1496,8593,2247,4165,13179
50,7,2400,442,1806,10745,12901
42,3,2244,1838,607,2853,8406
41,9,3121,2818,263,16400,1399
46,6,4930,4438,1305,1807,2568
51,20,1138,1475,1749,20336,1609
53,12,833,4039,196,13933,11242
37,2,2309,2719,694,6212,14294
46,13,3677,8694,512,19713,11387
49,7,4404,735,315,12684,6294
60,16,2251,9267,1966,7318,9733
48,8,1853,8566,752,3950,10139
44,16,3748,6040,1830,12301,12254
44,16,3342,1183,1468,13719,7996
41,4,1990,2446,768,22032,8945
42,14,2730,6931,2337,6572,1842
52,2,3711,8633,784,4935,6075
38,5,3640,2127,1978,13530,5522
43,3,902,7512,462,11343,4594
48,6,4096,8989,268,15239,12913
46,12,925,9791,488,6205,11459
46,7,267,6396,2444,234,133
38,4,4969,8334,1124,3907,4975
54,6,4889,9452,1913,6771,12176
60,1,2329,410,2213,23145,8954
39,5,560,2324,2023,12346,7380
42,14,1446,8623,1990,18876,12106
22,10,914,9989,131,1687,10101
38,20,4596,1508,1375,6639,236
47,18,49,5431,1228,9905,1067
36,2,1074,8155,2136,18494,5088
34,18,340,7129,1045,2372,12132
43,3,4239,8357,241,13461,6043
52,8,3764,3377,1063,11025,14274
38,7,1988,9979,1590,11928,267
48,14,2891,5994,1341,15147,13369
40,6,545,9080,1087,5835,4610
28,14,1718,5316,1486,10760,4285
56,5,680,5440,553,12517,1084
50,5,4416,5804,526,7237,5096
25,5,3328,9992,697,15450,1624
45,10,3500,226,1889,9707,4853
49,14,3536,5675,1674,22971,4655
44,19,4744,3224,553,596,12120
32,4,4285,7516,2133,14987,12549
48,5,2172,3553,2258,4450,1759
37,4,166,7877,2416,23124,980
45,15,2318,399,116,28,12078
24,12,3942,8929,644,18961,4838
50,18,3948,4503,1604,20705,1846
53,19,1363,7876,633,24490,1473
31,5,1317,5941,1837,2040,1610
49,18,3890,6882,815,20843,12032
41,2,1688,7231,628,13319,3706
50,13,1209,164,1984,13802,7044
46,1,4532,1224,913,16221,9256
51,12,3018,6929,1843,21161,4474
44,4,4038,3608,428,11761,13967
49,6,3115,1992,1117,2137,14129
56,5,1192,1894,873,17215,10146
35,13,4967,9409,1923,23481,3825
36,8,791,9190,1842,2347,5470
47,19,714,5931,1688,4735,321
51,13,3104,5950,1469,18629,4214
42,11,2354,311,590,1495,11627
42,11,4692,8824,1192,11821,6697
31,14,701,2718,449,21786,3600
45,13,3427,4001,1695,24155,8919
50,15,477,2462,435,19077,8273
40,16,4537,9445,2396,13683,4175
57,4,4762,7082,1586,8087,4987
35,3,4277,4595,2192,18447,8636
65,12,2850,1745,1987,22078,2380
47,3,4816,9282,437,19809,4157
49,5,3959,4801,1362,11737,11896
34,13,967,3732,1275,18046,5550
30,12,1271,9191,1133,1960,2313
46,9,167,8928,868,11361,8043
45,15,3326,1007,1016,21460,2427
47,10,556,6790,541,9483,9065
36,6,1541,1627,749,8072,4059
39,7,3073,272,1567,23583,10637
44,12,3236,6394,538,3056,1731
36,15,4804,880,2072,17287,7691
45,5,3822,2692,1001,23137,13483
32,13,4356,902,1917,9608,14864
37,5,4542,3266,950,17943,11240
38,2,53,5174,2319,10054,3700
51,19,1344,1156,599,1607,14316
42,16,2531,6167,91,10904,9329
45,8,2586,2325,234,7540,13781
48,16,3777,9884,59,8838,2248
38,13,237,9690,2310,17148,2414
48,13,2513,8099,1771,21057,13324
51,14,4175,3923,765,18900,4384
35,15,4720,7040,80,2122,6561
43,3,1372,9888,108,3129,14124
40,18,1376,7729,1673,4332,14774
39,3,4373,2281,2136,9940,12173
40,19,2292,6714,1330,18254,4362
43,4,201,3111,2414,21806,7345
47,11,4091,9256,349,228,12964
50,11,2207,5175,686,15491,1071
43,10,3562,9188,470,1631,10482
51,5,1129,9577,1749,16922,10918
42,15,3224,4478,558,16122,7749
50,2,1788,226,6,12319,4861
69,19,1374,6804,406,4445,8400
25,16,3485,2239,1505,7576,4266
50,14,1732,1815,2471,18303,4641
53,12,2419,6066,1682,22208,12429
38,15,3678,6019,2465,1181,6411
27,5,3452,7877,311,21091,6761
40,17,2278,8183,508,23604,6659
46,6,2193,5711,715,20118,5000
52,1,3662,7965,1572,8282,9433
37,13,3610,883,871,24654,8142
33,17,4833,6703,2277,17309,11213
36,15,922,7242,1424,24700,13811
54,13,1245,3983,149,19888,12331
39,18,4758,1679,1147,774,9132
41,2,3903,2078,1212,3843,8933
43,7,3193,7024,645,4128,13168
32,10,9,8548,1124,7991,9208
42,6,2956,315,850,18997,13975
57,20,4923,2823,318,10084,14003
56,12,1084,6190,345,11347,4527
35,5,3191,5152,1331,4860,6229
51,2,3586,8364,2445,833,12786
34,20,1854,4248,479,19582,12632
45,15,2950,3484,882,8041,13112
31,1,4976,5231,2249,19938,189
32,17,1802,4266,1534,6429,14875
50,2,3446,5137,1258,18165,4293
47,13,3277,9349,471,13420,2846
36,5,54,2417,305,22854,867
40,8,2130,4305,2031,3125,13432
40,2,2549,2727,2298,24522,5880
46,13,1701,8726,2353,6357,10862
46,10,1,8450,2444,4327,14840
44,4,1851,1245,323,4187,10513
37,8,1215,4375,1905,14082,10753
44,12,2801,5137,2191,2636,14492
41,9,3981,7712,2250,12736,5044
54,4,1170,4393,825,10997,12157
49,3,1739,8492,54,22340,2106
50,14,2566,9211,622,15803,12835
42,13,2473,9344,2337,23194,3898
50,3,2502,7780,913,11404,7343
41,15,1440,5581,598,24742,8289
48,9,3465,3391,915,704,13418
49,5,4584,1010,513,23431,4673
38,18,838,4616,350,4280,2145
41,7,706,2303,1059,23678,1961
41,7,3965,3658,945,23583,14914
46,20,60,7030,1603,16901,9135
47,10,152,6936,2297,6190,10735
35,5,27,7523,1275,13324,12610
37,2,4581,8999,2290,1538,8050
19,3,2972,8710,727,16994,10149
39,18,1687,6774,1824,2843,4195
42,17,3262,5292,1335,22069,9721
39,13,2297,6944,2192,17841,3494
38,13,2217,827,1760,344,12104
46,17,3898,9209,2201,22849,13659
28,7,4631,5125,873,6153,8576
44,1,1882,7923,244,7633,10476
27,2,3551,9165,953,14585,7116
45,17,4778,5661,1438,13007,11058
34,1,897,4917,354,14697,8565
48,8,2213,2918,589,15006,1808
36,9,651,3368,438,21030,7003
32,2,2087,1869,895,13892,6579
35,17,4625,5245,940,16695,3361
45,7,357,4321,2016,2642,7851
36,9,1461,8457,269,5099,1416
34,7,737,8715,1702,13198,9407
67,15,2164,2665,1436,14891,4866
45,2,1849,2489,1197,5320,1719
43,11,217,4052,820,3265,1013
37,14,296,6769,2285,10811,11248
49,6,3329,1348,680,19241,6582
34,8,932,8050,1095,21127,7516
25,3,2219,1381,304,16503,12298
44,18,2476,688,206,16130,8813
47,17,1996,671,876,17769,14534
51,14,4414,3227,1847,17564,14347
50,8,2232,6392,1687,14374,9543
42,2,2732,1996,1216,18330,7142
48,10,284,435,953,20359,8053
44,5,2157,6368,1154,4187,4136
55,13,2682,4457,924,3091,6062
46,19,2151,9637,968,17446,10306
40,1,2837,7638,2277,12207,10222
45,12,3053,3962,1324,1890,14012
50,8,1330,4803,2213,2008,8756
61,13,2612,114,937,3955,14936
39,10,4429,2955,641,14696,3101
43,1,4736,5758,408,14729,1705
48,1,1327,9007,1684,2729,11113
48,13,3492,1997,1054,8371,5283
53,13,4889,4668,233,6076,1994
57,1,1847,4373,152,23700,516
26,20,2309,5848,2011,15395,542
45,7,4245,2894,499,10510,11492
51,5,2545,6458,2367,1374,11427
42,16,4006,1341,226,19520,9076
40,6,2400,7053,2495,19215,11291
39,7,1424,46,1709,11818,14909
53,6,3453,5177,1300,9663,8870
26,14,521,1361,1595,7500,12735
45,5,3842,5154,2499,17068,2591
47,14,2008,1395,1377,21601,10513
40,15,2126,1153,2282,4146,9879
49,1,3437,970,460,6794,4916
23,9,1910,7305,557,6958,497
42,14,2195,674,335,23165,403
48,16,2507,4736,2408,7221,2445
51,4,2525,3871,1201,21527,7559
51,14,3222,5315,1866,13647,3758
31,3,4375,2234,616,20549,12870
39,18,1757,1609,2235,23071,14366
38,5,2991,3589,2407,19862,2702
16,12,1579,4033,1017,7440,7466
45,1,526,2946,1386,12414,4223
47,10,2754,9707,54,15993,13361
56,2,1719,6528,414,14639,8903
47,8,683,1109,1489,22000,14180
62,10,4702,729,276,19575,2008
40,9,4861,7172,1881,12504,11019
51,5,4326,1520,1420,6351,5442
38,11,2482,7524,2013,18391,819
39,11,134,3690,497,23852,6467
50,2,3350,2480,2186,17990,356
29,16,2685,6635,945,20328,13465
45,16,2408,6244,633,16801,1492
49,12,1501,3736,2052,6501,6413
33,1,3135,8892,1553,8097,9083
43,9,1088,1964,2391,21961,7612
55,10,892,2577,861,15661,11715
37,14,1374,4485,1060,7963,12925
52,4,2239,2353,411,5774,6458
47,2,4992,4253,194,3857,14684
48,3,2024,1698,1669,4174,13165
41,2,4904,1786,1288,21875,8219
46,13,1556,2088,2342,8287,7162
44,1,4031,3503,1851,10171,1462
41,1,4749,1206,2388,17157,398
38,10,1477,6837,1972,14716,3139
51,15,896,3259,2242,9712,1964
41,2,4641,5468,1889,4893,14159
33,10,4324,1900,1843,1201,6095
40,8,3148,9463,521,7282,6195
46,8,350,6352,981,24060,13681
48,19,4579,5628,1488,12473,2925
42,12,177,6707,1394,8908,1757
38,9,3966,3050,1986,20124,11193
37,20,2928,4414,190,15702,14374
45,20,2883,7572,1100,2565,2830
35,7,2579,4564,1888,811,6856
39,5,1082,9404,740,1337,9181
45,10,936,987,1831,12922,11942
40,13,2486,205,1383,22412,1585
46,2,3723,8435,2071,13588,2599
68,2,2068,2800,456,5469,13384
56,6,4079,8173,2285,16657,6523
50,6,4633,597,1031,17826,10701
39,9,1387,7769,847,21429,11911
54,8,1061,6173,147,10534,1586
34,1,4745,9507,1598,7392,13183
38,19,3021,3105,1897,2752,2025
60,20,2760,7130,1960,12588,5692
49,7,2407,6138,67,19431,7233
46,2,1534,2157,1862,12988,8954
43,9,1228,5191,383,19508,3584
42,16,2648,7206,226,10752,10788
49,17,492,1165,730,7649,8296
54,2,89,4572,2482,5032,3461
29,4,1196,3718,1415,18335,3339
42,12,4985,341,2481,8880,11089
50,15,4612,4686,187,17201,6452
46,19,574,6208,793,3460,14531
41,11,2772,6459,1771,3106,3658
49,1,4493,7380,406,16168,2883
38,11,2185,4512,1524,2136,2547
44,10,3086,5991,956,16935,4034
27,19,1473,2631,2312,10711,10435
51,17,2690,3938,2319,10839,5839
45,9,983,9890,2294,14289,10565
49,7,2046,8358,1800,5615,6717
40,8,3117,5473,2161,13642,5834
52,15,1529,961,2289,22581,1285
35,18,4852,777,684,24344,7410
43,12,4043,1045,2156,23970,6880
29,13,2881,9401,337,18357,10858
39,20,3807,202,1431,3512,5537
44,10,2358,688,1133,5269,6022
52,10,2175,3992,350,1916,5030
37,19,3317,6377,981,22596,4735
43,19,1857,5739,1589,12873,3465
47,19,455,4777,8,19019,9237
46,12,343,1238,1585,5832,13701
54,4,2687,1979,626,20556,3809
28,6,4898,2413,1712,20247,13975
49,15,434,6466,1253,9480,2641
47,12,1926,4372,643,2733,10490
50,18,2226,2613,180,921,10606
39,15,644,6360,1575,18402,6638
39,16,4005,1880,897,13008,10936
57,11,2201,7684,1950,14938,1102
45,1,1722,9418,16,20686,2850
44,2,105,5268,1172,9818,13700
44,3,3161,3186,1259,9838,11221
39,10,4347,5018,1495,6800,14442
43,4,3034,4129,131,21559,9578
55,10,4662,2546,1949,6437,12831
16,10,1666,7536,783,16633,4443
34,7,3381,2468,1731,8386,6344
22,9,4180,4964,670,12308,6113
40,3,2655,9836,1006,1199,5201
29,18,2946,2737,2495,1649,11141
40,8,4365,5416,517,9828,12068
41,5,3399,130,856,742,7885
38,15,4199,2387,2255,20681,6311
20,10,3736,5479,2317,16758,4700
39,14,3684,9236,1166,19358,4248
58,20,2159,976,981,11160,7346
31,6,3342,4100,2018,290,12420
52,15,3975,451,2393,14140,4129
31,10,2970,4987,1983,6147,1127
54,8,4301,3621,20,19648,2889
42,3,1726,1428,905,24652,8565
54,18,794,460,765,671,2474
31,6,4126,59,1549,14269,12135
61,11,3581,6393,1392,16341,12560
33,7,669,8929,1217,3348,3220
20,14,3907,9498,595,14898,10105
39,1,74,8797,1795,16775,8332
38,9,1502,1831,2353,18300,271
51,16,2150,7410,2439,20485,13378
56,5,648,5897,46,21552,3558
39,12,3250,9438,2042,17843,238
48,14,299,541,273,11033,8111
34,16,2684,7900,1103,1767,11584
50,15,1360,5382,660,15186,8407
41,1,2173,6667,2285,17033,13295
47,1,1472,8029,1829,6747,4082
40,20,2557,2391,847,6307,4351
48,1,2131,5799,1890,23816,5878
35,17,415,4651,1456,19784,2495
66,3,3065,4693,2348,10113,12990
31,7,4175,8803,19,24128,12072
36,14,113,5575,879,21154,3737
41,2,3450,6851,1748,11275,3549
50,19,2664,847,1399,19174,5049
32,6,3226,6857,1505,17397,9976
68,8,821,3688,801,13233,8802
40,2,3608,3381,1501,14924,13579
32,2,370,1483,456,14149,6329
38,9,2045,7981,2327,449,13836
46,5,3943,6493,1564,17276,9052
59,2,2536,8939,19,11573,12695
37,1,2868,9152,1045,19252,7708
39,1,2504,3172,346,282,1768
35,14,759,7699,1860,24255,8926
56,2,321,6022,1830,8932,7079
39,17,4581,9675,440,5061,3714
51,16,929,6260,92,13274,5118
47,11,2495,2773,989,14900,5630
55,3,128,6464,119,14558,1254
50,7,3182,6665,1468,9627,14540
53,14,2589,5922,493,11713,797
49,12,3915,9301,2172,7111,14912
36,8,1934,1057,1487,15903,10903
35,7,4376,411,1305,13776,7333
58,10,2757,1101,2329,10328,14858
37,5,959,6732,881,10692,10811
39,1,1895,8206,499,18707,13054
51,19,165,1675,86,17786,13554
45,15,4416,6660,137,7965,6006
44,13,4296,3194,1073,19870,8656
38,13,4797,5441,1813,8529,12209
60,15,1097,2998,111,14312,5043
57,18,1180,996,1536,12179,9211
42,2,5,8453,2231,519,4393
49,15,2744,4939,381,2890,9951
34,7,1950,1909,1629,2934,3762
30,19,1718,8903,2352,479,12744
61,13,2706,7770,753,21837,1025
43,10,4056,5449,1573,3115,13896
38,4,3387,7176,2330,5253,13577
54,9,1970,3691,1626,8288,12167
47,18,3270,2933,989,8337,97
38,14,2418,9398,228,1968,2424
40,8,1634,7346,1100,8344,3048
36,4,3225,5028,404,447,3870
37,14,870,6650,1966,8326,12007
38,18,3940,7579,370,897,8560
47,20,4599,5148,1684,9901,10596
53,10,4634,8311,1222,6699,11771
51,7,3125,1003,153,16042,10334
36,7,2829,5697,89,16751,4480
38,3,3705,7011,1664,24105,9042
49,7,3863,742,1886,18732,11245
59,7,3921,3174,730,12672,3262
40,15,2666,9145,2068,7796,2498
29,12,1979,8892,1964,20854,9722
32,13,4243,2458,1491,19948,11616
42,2,471,5416,451,11159,2281
40,6,776,3514,1265,18315,4206
36,6,3567,2354,707,6398,7371
46,3,2448,2735,580,20077,11708
41,20,2852,9910,1096,6509,10766
46,7,4582,9932,1567,117,5731
47,11,690,6346,323,9448,1600
55,8,1579,7211,885,22324,3042
51,9,3210,9363,1701,926,4211
57,19,437,3272,348,19005,7612
54,17,4061,5061,1269,43,11270
40,6,3098,3552,2299,6811,11857
46,13,1051,9640,2378,4164,13836
34,11,3459,5615,85,20624,3396
46,4,2507,3469,1389,5365,1386
36,9,300,568,108,15378,13930
37,17,4476,3494,474,20391,7253
30,7,3374,1203,709,683,1815
44,20,4699,2169,490,11064,3092
39,9,2646,8890,1530,24208,1920
29,12,3113,756,688,6955,9833
33,9,746,5421,999,14135,6243
40,13,4312,1787,1811,12788,14194
48,1,2923,892,1086,17998,14839
41,4,126,5852,1629,13330,3135
23,2,3242,5197,2157,10595,14610
33,20,1874,1404,346,4236,3400
39,8,4056,4928,116,1558,6947
41,19,2574,3232,409,9780,10720
31,15,3803,7914,2324,15935,7730
19,10,3062,6825,1475,23967,2219
40,5,94,5560,1955,11155,12498
40,6,4780,49,235,22882,11840
35,2,2248,1704,228,24784,10465
38,3,2728,6839,1341,308,379
38,8,4799,68,1629,23441,8082
48,4,3779,6953,1585,15296,1426
48,8,4066,321,329,8112,13483
45,6,1903,8766,2206,2300,800
44,4,1351,5612,2317,2691,11335
51,18,697,7107,1385,7125,11612
43,12,4757,1904,680,7880,14893
43,7,3336,7373,736,9551,2138
31,15,1633,7606,1385,5324,12450
53,9,472,2773,2187,3640,12378
52,2,2211,2293,141,6360,1734
45,1,2230,1584,362,20200,2454
38,11,1668,315,56,19948,10749
59,20,2069,1123,538,11723,4688
39,6,2738,9466,914,6412,14974
32,20,1909,5725,1094,1410,3050
40,13,3543,7728,1413,22653,5188
40,17,83,6997,1177,5602,12376
39,16,687,5764,504,22680,5809
29,1,4901,9777,296,8761,6204
34,19,4384,598,2330,14897,7080
35,5,3257,3991,147,94,3241
42,6,3028,3817,76,17649,13016
33,16,302,756,586,21436,12705
52,14,3068,183,58,14958,12749
50,15,3839,7760,1592,23109,10382
54,15,4330,8693,1211,1820,9154
43,15,4699,1069,1752,10353,470
55,8,3997,2623,1640,21873,5992
38,14,982,3510,1200,444,512
45,13,45,851,1511,12233,1066
67,4,4347,9343,1286,16093,9256
43,19,3790,5566,1191,20287,7395
36,12,368,9369,1616,3745,2951
44,5,4124,9197,861,15571,563
50,5,1702,1919,283,15228,11444
45,14,2186,9073,1350,15357,1604
50,14,3198,3917,722,8818,10412
41,15,2361,6091,630,12106,12710
32,7,4302,1801,2099,2494,14212
46,8,2300,8113,693,10601,13170
38,9,4345,9632,104,21122,1607
46,10,3943,2191,2489,17790,8101
23,4,1309,7180,2484,10708,3286
44,19,316,9293,1561,15775,3401
34,5,555,9790,1068,2348,14145
28,19,1437,6911,2172,18783,6719
34,18,3178,8238,1131,17583,8631
50,17,1822,8376,1895,19475,13302
50,17,1040,3153,787,940,9959
49,7,3902,3790,1340,13892,14712
60,8,2020,5988,1585,24573,2217
48,17,50,7596,2127,12636,11540
36,13,3108,638,893,13447,7738
45,14,3173,4576,1418,20110,10524
24,17,257,1482,1189,19949,14402
36,10,1697,17,2321,3725,2652
44,2,1228,3950,1991,17285,11114
43,20,3530,6377,591,4937,13275
50,9,3442,9873,1696,2851,4313
44,14,1317,857,958,24235,1028
44,8,1177,8205,37,6751,4335
41,5,1702,2107,2026,10905,3703
44,15,1544,6784,401,24873,9050
34,10,3753,6211,1200,877,13434
43,11,2839,652,694,23824,6719
31,18,3499,634,1626,11159,4723
46,3,112,8572,1600,17642,11452
33,6,858,3022,972,6244,2613
51,18,1805,6928,1356,19910,866
47,16,1359,373,62,3044,2886
51,20,3305,5650,345,7089,190
45,8,4699,0,1733,21642,14909
50,6,2029,5395,1501,13831,14949
39,5,4934,5438,767,5355,14335
25,18,146,7500,727,24920,150
41,9,1730,9680,2152,1218,6491
43,18,3308,2864,1733,16490,6340
53,10,1023,1728,684,19404,7520
41,19,339,8120,470,18273,2735
46,12,3626,8753,1673,13535,10069
45,20,3382,5204,1372,17948,9925
43,19,3975,7064,2048,8571,12570
52,15,1345,3842,651,7017,5340
48,15,1697,4567,734,9339,12341
41,18,1893,9927,1535,4033,14164
39,20,3898,1767,468,12686,1594
38,2,3269,36,1668,6954,7527
51,15,1249,3186,984,2842,8457
46,10,659,9444,642,16247,13816
45,8,511,3337,1934,18768,1544
52,12,2206,2142,1378,14690,9471
38,14,2173,9352,1618,19865,12405
51,1,2912,5183,1282,23242,7017
48,15,251,6277,1061,1605,6178
54,8,2271,3819,2317,7996,12822
64,17,3463,5671,1172,5115,14904
49,12,4782,8514,83,18740,2727
32,3,4810,7056,108,18250,13654
59,10,3627,1387,1725,19826,369
45,10,2986,6194,318,22117,5635
38,16,1555,9018,566,2921,14069
41,16,4485,7285,127,17791,10538
57,4,2345,4069,2490,13182,1466
38,15,1267,1571,755,14115,9938
48,15,2406,6161,2318,6618,12011
40,14,2036,4647,1451,18379,10986
44,7,1147,3605,1503,3346,7982
39,19,2064,8943,2411,5139,1065
44,3,25,2660,1785,20727,7432
51,6,4661,2802,2138,12579,917
60,14,2935,2678,1479,8138,3431
35,13,3237,9225,2094,15799,1113
37,19,3696,2748,1225,925,2328
63,9,1940,2991,957,4810,3606
53,11,3879,8401,1257,12878,3954
54,17,4250,7115,2184,1335,1370
45,6,4250,9803,1101,6411,588
50,7,3842,7983,1062,22636,3695
42,2,4403,7230,2310,2478,14815
25,2,4647,2832,796,5078,4046
39,7,3143,3834,480,9878,4696
40,12,3170,2292,1323,5798,12727
33,6,4999,8369,630,6658,150
47,17,928,9151,1137,13222,13132
40,9,2023,5752,576,10440,5993
52,3,2679,1114,238,10294,8275
49,15,1853,7433,745,4293,14854
55,16,4174,8773,798,13418,6570
49,19,435,7602,1069,118,3119
25,18,854,8717,1320,7830,175
44,16,4343,6845,1248,11051,7215
51,18,371,1861,665,4585,4926
27,12,1836,2587,743,7034,9064
58,2,266,5305,2078,11072,10841
30,17,4479,7937,1727,3988,6181
28,8,3290,6749,1887,16039,5515
41,13,4068,8353,26,17455,13103
46,11,4529,3611,447,17585,7655
38,17,2430,1086,833,10836,12072
49,8,2056,5660,2349,14918,10693
40,13,4007,8382,417,10069,6104
64,3,3685,8343,612,15948,3081
45,13,3355,3681,467,21033,5370
43,2,1759,3217,1169,19934,3817
43,17,4856,1489,1259,12520,2014
62,17,2977,7648,2454,2233,3194
33,19,1743,4755,598,21939,3617
46,20,2226,8489,2098,22321,12332
36,17,112,4051,2081,4320,4095
42,9,4618,8421,104,6855,13054
44,13,2998,7191,1218,4380,8842
57,17,2496,7414,2496,10374,11785
57,5,4745,8069,35,5309,3807
49,10,1883,8728,2109,4742,666
64,12,4640,7900,800,8936,11074
34,17,688,7113,1435,13035,9671
45,2,2712,3622,792,7846,10249
40,4,464,9546,2090,23831,104
50,3,3531,2112,1634,12159,2007
16,10,4812,3981,1437,24111,6510
47,4,4750,7898,988,22871,5385
57,4,3204,2430,419,13720,2486
47,19,1958,8101,1513,18563,2137
47,5,2612,5102,398,6991,553
39,3,4264,693,812,18073,2874
44,15,3768,5876,2002,19203,8151
38,16,2362,421,1583,7470,609
40,9,2581,8756,1091,6388,2854
39,20,2063,662,2386,13319,1646
45,9,257,8959,876,714,5939
34,9,4246,1413,1545,5379,9658
27,20,3036,7571,1455,1745,6465
42,9,3831,4508,1048,4597,10810
36,14,760,7699,1129,944,5931
70,20,1787,2022,730,10001,10152
43,16,4814,538,2323,7038,7210
42,9,2853,5879,559,22030,4722
42,7,878,9447,1333,16267,9327
56,19,173,4265,1176,17985,4160
45,9,4433,4233,1136,23223,8247
48,1,1996,3276,1389,19818,8158
49,11,2350,2030,860,14196,9005
51,19,1957,7488,1124,15950,10837
45,8,3170,8956,1777,4434,13028
53,17,1278,2363,1730,12252,8791
48,18,2526,4618,1307,19668,1369
39,8,4249,7076,254,1760,7074
34,6,2576,1747,549,23346,8861
42,17,4826,9672,1717,8511,12240
41,6,178,8298,476,6483,4593
48,16,4746,843,743,16503,14932
46,19,2128,3184,1499,7788,8930
40,16,3567,5712,1796,4403,11583
52,20,4830,5301,446,8796,14659
49,2,2885,912,2497,20958,1438
49,16,231,4793,642,16875,8836
57,17,920,9161,771,11317,5508
42,2,4484,1383,21,5725,214
46,5,2688,978,1084,13557,6086
52,13,2990,5978,1329,21753,7536
54,1,23,6302,1264,8016,6212
46,18,3474,8965,2460,23748,5381
37,13,627,3371,1584,12432,11748
44,19,3535,2277,1248,10765,3198
52,8,4526,6015,818,16067,326
50,18,3972,1425,1443,19782,2716
60,9,196,3256,1673,12443,7141
36,17,2075,969,97,3239,2082
35,3,1444,1667,2143,16470,4515
49,18,3400,4533,2175,6752,8613
33,20,4545,7123,849,18088,12372
44,10,4004,1322,345,345,8972
29,4,4404,3559,297,23581,439
41,1,4180,2808,532,16320,13832
40,7,561,8801,1048,10100,11704
55,18,2994,1707,249,23558,1910
46,5,2867,2132,1847,23029,3195
38,2,656,4800,1151,10790,12452
39,12,758,3688,893,17589,12101
45,3,980,123,1223,23334,4539
47,4,4574,2503,2419,14423,11788
40,3,797,8506,685,12509,421
50,16,1022,7802,765,7018,10292
39,3,3532,9406,1085,6581,10912
44,10,4944,5869,2017,11265,13382
51,14,3162,9173,464,16298,863
37,9,2961,2917,2265,13881,7303
44,4,2282,1122,2302,20639,12358
48,1,1334,2120,2471,5914,7146
44,20,4758,9826,2264,16011,5947
26,1,2632,8675,811,15810,12412
52,9,2590,3181,134,11619,14160
44,14,2282,5951,1478,21986,511
49,8,1611,5920,468,2319,9626
56,18,3988,9402,1882,3472,5364
44,2,2750,4858,2303,2336,13864
39,4,1284,7507,1496,20726,424
47,17,4011,6038,2096,14980,87
30,3,3547,4900,1184,24306,9710
50,19,4747,7819,309,14718,8189
26,19,3551,3136,185,20839,1527
38,11,2287,4736,1030,10398,10399
28,14,3739,4995,861,1189,5889
35,10,3575,276,763,14782,8044
35,1,2574,6244,486,8760,10200
43,1,2498,8799,2164,6966,8392
47,10,494,8156,2200,1124,7554
58,7,3424,966,1966,18583,10134
40,16,645,7191,2020,18911,14911
40,10,2932,2185,1476,14661,13306
44,6,4371,1157,1090,5927,14032
44,6,2269,647,621,21015,7692
44,1,1605,1323,839,5079,7031
33,2,1261,9702,97,24861,9080
34,12,3906,5001,35,7954,6317
44,19,639,2448,1304,19605,13293
48,6,539,1535,1022,9335,151
45,8,127,3552,37,11201,4756
54,5,3403,8229,336,12473,5865
27,16,4662,2635,203,9509,514
22,13,1137,6511,1575,14137,11853
50,12,1192,5916,2044,4146,1206
56,3,4727,2666,1352,23728,3137
38,19,1495,6821,1073,22789,2785
53,5,1905,2969,1003,13460,101
49,13,4964,69,1304,21177,11386
27,8,408,4559,696,5411,3270
49,6,2629,4986,1615,8120,1664
50,11,3864,5055,1595,10968,3983
17,14,1663,6210,110,777,14084
55,13,1700,2798,226,12818,3341
54,19,1984,7856,1963,15061,308
44,7,3309,2325,511,8542,4438
41,12,4532,3510,2204,15905,2279
48,10,693,9169,189,10169,12258
38,19,3109,5556,1318,9054,14882
36,5,607,5913,742,19064,10589
43,6,3066,6837,720,44,6347
65,8,4257,5126,1344,3046,49
56,13,4267,2601,617,5444,7786
23,5,2861,9306,1145,19834,887
49,3,976,711,1387,3721,6614
